id,title,album,duration,release_date,rank,bpm,gain,artist_1,artist_2,artist_3,artist_4,artist_5,artist_6,artist_7,artist_8,artist_9,artist_10,in_POJ,in_POE,in_POF,in_POK,in_JRK,in_RFR,in_RUS,in_JFK,in_LOF,in_MSC,in_DEM,in_?XD,in_SLV,in_CHV,in_CTV,in_HPV,in_NRV,in_FCV,in_CUD,in_ONE,in_ADD,in_RCN,in_SGM,in_VCL,in_LRB,in_FAV,in_JFA,in_EFA
2383115925,Living My Life,5am,225,2023-08-30,73926,0.0,-7.6,milet,,,,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,
2383115935,Noel In July,5am,286,2023-08-30,88865,0.0,-9.8,milet,,,,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,
2383115985,Hey Song,5am,211,2023-08-30,114814,0.0,-8.5,milet,,,,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,True,True,
2383115995,Flare,5am,234,2023-08-30,51443,0.0,-7.9,milet,,,,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,
2383116025,HELL CLUB,5am,230,2023-08-30,72351,0.0,-8.1,milet,,,,,,,,,,True,,,,,,,,,,,,,,,,,True,,,,,,,,,,
2383115945,b r o k e n,5am,243,2023-08-30,86790,0.0,-6.2,milet,,,,,,,,,,,,,,True,,,,,,,True,,,,,True,,,,,,,,,True,True,
2383115915,Koi Kogare,5am,215,2023-08-30,81939,0.0,-6.5,milet,MAN WITH A MISSION,,,,,,,,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,
2383116045,December,5am,255,2023-08-30,117089,0.0,-10.1,milet,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
2383116005,You Made It,5am,207,2023-08-30,70568,0.0,-11.3,milet,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,
1847577137,Clan,Always You,216,2022-08-17,61380,0.0,-8.7,milet,,,,,,,,,,True,,,,,,,,,,,,,,,,True,,,,,,,,,True,True,
2625069472,Anytime Anywhere,Anytime Anywhere,230,2024-01-31,315282,0.0,-6.4,milet,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,True,
1171116012,Fine Line,Drown / You & I,201,2019-11-06,89388,0.0,-8.4,milet,,,,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,
976060812,I Gotta Go,Inside You EP,209,2019-03-06,48136,0.0,-11.2,milet,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
2205130627,Kizuna No Kiseki,Kizuna No Kiseki,223,2023-04-10,571215,0.0,-7.1,MAN WITH A MISSION,milet,,,,,,,,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,
1573649212,Omokage (produced by Vaundy),Omokage (produced by Vaundy),188,2021-12-17,326768,0.0,-7.8,milet,Aimer,Lilas Ikuta,,,,,,,,True,,,,,,,,,,,,,,True,,,,,True,,,,,,True,True,
1421998442,Castle,Ordinary days,236,2021-08-02,53085,0.0,-7.9,milet,,,,,,,,,,True,,,,,,,,,,,True,,,,,,,,True,,,,,,True,True,
1421998432,Time Is On Our Side,Ordinary days,195,2021-08-02,49145,0.0,-7.0,milet,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
3051482111,Out of the Loop,Out of the Loop,192,2024-10-25,39585,0.0,-9.7,Jason Chan,milet,,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,True,True,
1143838082,One Touch,Who I Am,238,2020-11-30,89176,0.0,-8.7,milet,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143838072,The Hardest,Who I Am,227,2020-11-30,80356,0.0,-11.3,milet,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
1171116122,THE SHOW,Wonderland EP,235,2019-05-13,93684,0.0,-8.1,milet,,,,,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1100435152,Parachute,eyes,254,2020-05-27,140554,0.0,-10.9,milet,,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,
